,time,inav,market_index,difference
71,2017-02-15 12:27:55.083843,9533.764952973235,9522.8,10.964952973235995
72,2017-02-15 12:27:56.305435,9533.70403979644,9522.8,10.904039796439974
73,2017-02-15 12:27:57.982025,9533.094908028484,9522.8,10.294908028485224
74,2017-02-15 12:27:59.440678,9532.973081674894,9522.83,10.143081674894347
75,2017-02-15 12:28:00.761718,9532.790342144508,9522.94,9.850342144507522
76,2017-02-15 12:28:02.205998,9532.790342144508,9522.98,9.810342144508468
77,2017-02-15 12:28:03.440330,9532.790342144508,9522.98,9.810342144508468
78,2017-02-15 12:28:05.216383,9532.48577626053,9522.97,9.515776260530401
79,2017-02-15 12:28:06.539068,9532.48577626053,9523.03,9.455776260529092
80,2017-02-15 12:28:07.758934,9531.998470846165,9523.03,8.968470846164564
81,2017-02-15 12:28:08.993190,9531.815731315779,9523.15,8.66573131577934
82,2017-02-15 12:28:10.392157,9531.815731315779,9523.11,8.705731315778394
83,2017-02-15 12:28:13.271724,9531.328425901416,9523.43,7.898425901415976
84,2017-02-15 12:28:15.308901,9531.145686371028,9523.78,7.36568637102755
85,2017-02-15 12:28:17.970067,9531.084773194234,9523.75,7.334773194234003
86,2017-02-15 12:28:19.498239,9531.084773194234,9523.57,7.514773194234294
87,2017-02-15 12:28:22.614608,9530.962946840642,9523.6,7.362946840641598
88,2017-02-15 12:28:24.359696,9530.902033663848,9523.57,7.332033663848051
89,2017-02-15 12:28:25.602970,9531.023860017438,9522.85,8.173860017437619
90,2017-02-15 12:28:26.859427,9531.084773194234,9522.91,8.174773194234149
91,2017-02-15 12:28:29.450912,9531.693904962189,9522.91,8.783904962188899
92,2017-02-15 12:28:32.402592,9531.693904962189,9522.54,9.15390496218788
93,2017-02-15 12:28:34.968904,9531.693904962189,9522.6,9.09390496218839
94,2017-02-15 12:28:36.414561,9531.572078608597,9522.73,8.842078608597149
95,2017-02-15 12:28:40.882164,9531.754818138983,9522.48,9.274818138983392
96,2017-02-15 12:28:42.120929,9531.815731315779,9522.51,9.305731315778758
97,2017-02-15 12:28:43.424823,9531.876644492575,9522.48,9.396644492575433
98,2017-02-15 12:28:45.085888,9532.059384022961,9522.45,9.609384022960512
99,2017-02-15 12:28:46.657564,9531.998470846165,9522.51,9.488470846165
100,2017-02-15 12:28:48.134438,9532.120297199757,9522.73,9.390297199757697
101,2017-02-15 12:28:49.513617,9532.120297199757,9522.79,9.330297199756387
102,2017-02-15 12:28:50.773788,9532.303036730144,9522.79,9.51303673014263
103,2017-02-15 12:28:51.989519,9532.303036730144,9522.63,9.673036730144304
104,2017-02-15 12:28:55.259432,9532.242123553347,9522.63,9.612123553348283
105,2017-02-15 12:28:56.489166,9532.242123553347,9522.51,9.732123553347265
106,2017-02-15 12:28:57.847071,9532.242123553347,9522.42,9.82212355334741
107,2017-02-15 12:28:59.243193,9532.181210376551,9522.48,9.701210376551899
108,2017-02-15 12:29:00.545779,9531.632991785393,9522.45,9.182991785392005
109,2017-02-15 12:29:04.670445,9531.815731315779,9522.49,9.325731315779194
110,2017-02-15 12:29:06.306625,9531.998470846165,9523.98,8.018470846165656
111,2017-02-15 12:29:08.161829,9531.998470846165,9524.02,7.978470846164782
112,2017-02-15 12:29:09.715882,9531.876644492575,9523.99,7.886644492575215
113,2017-02-15 12:29:13.291434,9531.876644492575,9523.87,8.006644492574196
114,2017-02-15 12:29:15.330512,9531.998470846165,9524.12,7.878470846164419
115,2017-02-15 12:29:16.564256,9531.998470846165,9524.05,7.948470846165947
116,2017-02-15 12:29:18.030251,9531.998470846165,9524.12,7.878470846164419
117,2017-02-15 12:29:21.556979,9531.998470846163,9524.44,7.558470846162891
118,2017-02-15 12:29:22.847958,9533.033994851688,9524.9,8.13399485168884
119,2017-02-15 12:29:24.115827,9533.399473912461,9525.12,8.279473912460162
120,2017-02-15 12:29:25.681319,9533.27764755887,9525.12,8.15764755886994
121,2017-02-15 12:29:27.617199,9533.27764755887,9525.72,7.557647558871395
122,2017-02-15 12:29:29.242815,9533.094908028484,9525.75,7.344908028484497
123,2017-02-15 12:29:30.485050,9533.338560735667,9525.63,7.708560735667561
124,2017-02-15 12:29:31.725799,9533.643126619645,9526.42,7.223126619644972
125,2017-02-15 12:29:33.666511,9533.643126619645,9527.03,6.61312661964439
126,2017-02-15 12:29:34.905159,9533.643126619645,9527.02,6.623126619644609
127,2017-02-15 12:29:37.233504,9533.70403979644,9527.02,6.68403979643881
128,2017-02-15 12:29:38.443268,9533.70403979644,9526.89,6.814039796439829
129,2017-02-15 12:29:39.955313,9533.582213442849,9526.85,6.732213442848661
130,2017-02-15 12:29:42.310004,9533.155821205279,9527.67,5.485821205278626
131,2017-02-15 12:29:43.598022,9532.973081674892,9527.73,5.243081674892892
132,2017-02-15 12:29:45.459849,9532.912168498096,9528.26,4.652168498096216
133,2017-02-15 12:29:46.688189,9532.851255321302,9528.12,4.731255321301433
134,2017-02-15 12:29:47.937751,9532.912168498096,9528.09,4.822168498096289
135,2017-02-15 12:29:50.201201,9532.790342144506,9528.21,4.580342144507085
136,2017-02-15 12:29:52.187305,9532.851255321302,9528.84,4.011255321302087
137,2017-02-15 12:29:53.825645,9532.668515790916,9528.84,3.8285157909158443
138,2017-02-15 12:29:55.669058,9532.48577626053,9528.89,3.5957762605303287
139,2017-02-15 12:29:58.320136,9532.48577626053,9528.98,3.505776260530183
140,2017-02-15 12:29:59.585190,9532.48577626053,9528.5,3.9857762605297467
141,2017-02-15 12:30:00.809178,9532.48577626053,9528.56,3.925776260530256
142,2017-02-15 12:30:02.420411,9532.60760261412,9529.01,3.597602614119751
143,2017-02-15 12:30:03.643095,9532.668515790916,9528.72,3.9485157909166446
144,2017-02-15 12:30:06.609671,9532.120297199757,9528.83,3.290297199757333
145,2017-02-15 12:30:07.833139,9532.120297199757,9528.34,3.780297199757115
146,2017-02-15 12:30:09.088217,9532.242123553347,9528.3,3.9421235533482104
147,2017-02-15 12:30:11.290406,9531.998470846163,9528.28,3.718470846162745
148,2017-02-15 12:30:14.760028,9531.93755766937,9528.08,3.857557669369271
149,2017-02-15 12:30:15.985242,9531.876644492575,9528.0,3.8766444925749965
